c;S;X;T;vol;rf
14.7;2019.02;2050;0.079452055;0.0005;0.05
10.25;1921.42;2000;0.079452055;0.000734127;0.05
7.2;2050.29;2100;0.076712329;0.00044127;0.05
16.6;2050.29;2075;0.076712329;0.000498016;0.05
0.675;2050.29;2150;0.076712329;0.000378968;0.05
0.15;2050.29;2200;0.076712329;0.000421429;0.05
30.3;2050.29;2050;0.076712329;0.000561111;0.05
24.35;2050.29;2060;0.076712329;0.000536111;0.05
0.125;2089.99;2325;0.076712329;0.000582143;0.05
14.35;2050.29;2080;0.076712329;0.000486111;0.05
20.1;2089.99;2100;0.076712329;0.000356746;0.05
23.3;2023.25;2035;0.076712329;0.000470635;0.05
45.75;1948.51;1940;0.076712329;0.000709524;0.05
29.5;2012.74;2020;0.076712329;0.000511508;0.05
27.25;2050.29;2055;0.076712329;0.000548016;0.05
11.45;1948.51;2015;0.076712329;0.000668254;0.05
12.95;2075.91;2100;0.073972603;0.000426587;0.05
13.6;2014.54;2050;0.073972603;0.00050873;0.05
0.325;2075.91;2200;0.073972603;0.000404365;0.05
0.4;2014.54;2150;0.073972603;0.00050873;0.05
41.7;2075.91;2050;0.073972603;0.000522619;0.05
0.075;2014.54;2245;0.073972603;0.000568254;0.05
25.55;2075.91;2075;0.073972603;0.000474603;0.05
1.825;2075.91;2150;0.073972603;0.000373016;0.05
2.25;2075.91;2145;0.073972603;0.000373016;0.05
1.45;2075.91;2155;0.073972603;0.000369841;0.05
15.05;2075.91;2095;0.073972603;0.000434524;0.05
81.3;2075.91;2000;0.073972603;0.000604762;0.05
5.25;2075.91;2125;0.073972603;0.00039127;0.05
9.35;2075.91;2110;0.073972603;0.000411905;0.05
60.55;2075.91;2025;0.073972603;0.000563095;0.05
2.85;2075.91;2140;0.073972603;0.000377778;0.05
6.4;2075.91;2120;0.073972603;0.000396429;0.05
34.8;2075.91;2060;0.073972603;0.000501587;0.05
4.25;2075.91;2130;0.073972603;0.000386111;0.05
28.45;2075.91;2070;0.073972603;0.00048254;0.05
10.05;1987.89;2040;0.068493151;0.000507143;0.05
11.55;1987.89;2035;0.068493151;0.000526984;0.05
26.35;1987.89;2000;0.068493151;0.000623413;0.05
57.3;1987.89;1950;0.068493151;0.000760317;0.05
34.6;1987.89;1985;0.068493151;0.000627778;0.05
11.25;2071.16;2100;0.065753425;0.000431746;0.05
22.45;2071.16;2075;0.065753425;0.00046627;0.05
25.7;2071.16;2070;0.065753425;0.000482143;0.05
2.9;2071.16;2135;0.065753425;0.00039246;0.05
7.45;1981.01;2040;0.065753425;0.000555556;0.05
10.4;2064.45;2100;0.063013699;0.000453175;0.05
165.1;2064.45;1900;0.063013699;0.000617063;0.05
21.3;2064.45;2075;0.063013699;0.000496032;0.05
29;1991.76;2000;0.063013699;0.000700397;0.05
2.125;2064.45;2140;0.063013699;0.00040754;0.05
2.65;2064.45;2135;0.063013699;0.000410714;0.05
12.15;2064.45;2095;0.063013699;0.000459524;0.05
45.7;2030.57;2000;0.063013699;0.000646825;0.05
36.35;2064.45;2050;0.063013699;0.00054246;0.05
2.65;2086.86;2150;0.060273973;0.000384524;0.05
15.4;2012.74;2040;0.060273973;0.000530556;0.05
37.65;2012.74;2000;0.060273973;0.000681746;0.05
33.3;2086.86;2075;0.060273973;0.00051746;0.05
18.65;2086.86;2100;0.060273973;0.000472222;0.05
0.825;2012.74;2115;0.060273973;0.000447222;0.05
0.925;1921.42;2060;0.060273973;0.00075873;0.05
0.125;1921.42;2130;0.060273973;0.000654762;0.05
9.7;2086.86;2120;0.060273973;0.000427381;0.05
8.1;2086.86;2125;0.060273973;0.000420238;0.05
45.85;1921.42;1910;0.060273973;0.000817857;0.05
4.35;2086.86;2140;0.060273973;0.000400397;0.05
1.6;2086.86;2160;0.060273973;0.000375794;0.05
23.95;2086.86;2090;0.060273973;0.000486905;0.05
4.45;1921.42;2015;0.060273973;0.000661905;0.05
13.75;2086.86;2110;0.060273973;0.000448016;0.05
22.55;2012.74;2025;0.060273973;0.000565476;0.05
17.7;2089.99;2100;0.057534247;0.000453175;0.05
0.35;2089.99;2200;0.057534247;0.000405556;0.05
13.1;2089.99;2110;0.057534247;0.000434921;0.05
13.55;2050.29;2075;0.057534247;0.000606349;0.05
0.175;2050.29;2175;0.057534247;0.000556349;0.05
32;2089.99;2075;0.057534247;0.000488889;0.05
7.7;2089.99;2125;0.057534247;0.000412302;0.05
